week_end,condition,percent_visits,age_group,age_min,age_max,is_overall
07-10-2023,Acute upper respiratory infection,13.7,Infants 0-1,0,1,FALSE
07-10-2023,Acute upper respiratory infection,11.5,Kids 2-4,2,4,FALSE
07-10-2023,Acute upper respiratory infection,5.1,Kids 5-17,5,17,FALSE
07-10-2023,Acute upper respiratory infection,1.8,Adults 18-49,18,49,FALSE
07-10-2023,Acute upper respiratory infection,1,Adults 50-64,50,64,FALSE
07-10-2023,Acute upper respiratory infection,0.6,Seniors 65+,65,,FALSE
07-10-2023,Acute upper respiratory infection,2.5,Overall,,,TRUE
14-10-2023,Acute upper respiratory infection,14,Infants 0-1,0,1,FALSE
14-10-2023,Acute upper respiratory infection,12.3,Kids 2-4,2,4,FALSE
14-10-2023,Acute upper respiratory infection,5.4,Kids 5-17,5,17,FALSE
14-10-2023,Acute upper respiratory infection,1.9,Adults 18-49,18,49,FALSE
14-10-2023,Acute upper respiratory infection,1.1,Adults 50-64,50,64,FALSE
14-10-2023,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
14-10-2023,Acute upper respiratory infection,2.7,Overall,,,TRUE
21-10-2023,Acute upper respiratory infection,14,Infants 0-1,0,1,FALSE
21-10-2023,Acute upper respiratory infection,12.3,Kids 2-4,2,4,FALSE
21-10-2023,Acute upper respiratory infection,5.5,Kids 5-17,5,17,FALSE
21-10-2023,Acute upper respiratory infection,2,Adults 18-49,18,49,FALSE
21-10-2023,Acute upper respiratory infection,1.1,Adults 50-64,50,64,FALSE
21-10-2023,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
21-10-2023,Acute upper respiratory infection,2.7,Overall,,,TRUE
28-10-2023,Acute upper respiratory infection,14.2,Infants 0-1,0,1,FALSE
28-10-2023,Acute upper respiratory infection,12.9,Kids 2-4,2,4,FALSE
28-10-2023,Acute upper respiratory infection,5.9,Kids 5-17,5,17,FALSE
28-10-2023,Acute upper respiratory infection,2,Adults 18-49,18,49,FALSE
28-10-2023,Acute upper respiratory infection,1.2,Adults 50-64,50,64,FALSE
28-10-2023,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
28-10-2023,Acute upper respiratory infection,2.9,Overall,,,TRUE
04-11-2023,Acute upper respiratory infection,15,Infants 0-1,0,1,FALSE
04-11-2023,Acute upper respiratory infection,13.3,Kids 2-4,2,4,FALSE
04-11-2023,Acute upper respiratory infection,6.6,Kids 5-17,5,17,FALSE
04-11-2023,Acute upper respiratory infection,2.3,Adults 18-49,18,49,FALSE
04-11-2023,Acute upper respiratory infection,1.3,Adults 50-64,50,64,FALSE
04-11-2023,Acute upper respiratory infection,0.7,Seniors 65+,65,,FALSE
04-11-2023,Acute upper respiratory infection,3.2,Overall,,,TRUE
11-11-2023,Acute upper respiratory infection,15.1,Infants 0-1,0,1,FALSE
11-11-2023,Acute upper respiratory infection,13.7,Kids 2-4,2,4,FALSE
11-11-2023,Acute upper respiratory infection,7.1,Kids 5-17,5,17,FALSE
11-11-2023,Acute upper respiratory infection,2.4,Adults 18-49,18,49,FALSE
11-11-2023,Acute upper respiratory infection,1.3,Adults 50-64,50,64,FALSE
11-11-2023,Acute upper respiratory infection,0.8,Seniors 65+,65,,FALSE
11-11-2023,Acute upper respiratory infection,3.4,Overall,,,TRUE
18-11-2023,Acute upper respiratory infection,15.1,Infants 0-1,0,1,FALSE
18-11-2023,Acute upper respiratory infection,13.7,Kids 2-4,2,4,FALSE
18-11-2023,Acute upper respiratory infection,7.1,Kids 5-17,5,17,FALSE
18-11-2023,Acute upper respiratory infection,2.5,Adults 18-49,18,49,FALSE
18-11-2023,Acute upper respiratory infection,1.5,Adults 50-64,50,64,FALSE
18-11-2023,Acute upper respiratory infection,0.9,Seniors 65+,65,,FALSE
18-11-2023,Acute upper respiratory infection,3.5,Overall,,,TRUE
25-11-2023,Acute upper respiratory infection,15.1,Infants 0-1,0,1,FALSE
25-11-2023,Acute upper respiratory infection,13.5,Kids 2-4,2,4,FALSE
25-11-2023,Acute upper respiratory infection,7.2,Kids 5-17,5,17,FALSE
25-11-2023,Acute upper respiratory infection,2.5,Adults 18-49,18,49,FALSE
25-11-2023,Acute upper respiratory infection,1.6,Adults 50-64,50,64,FALSE
25-11-2023,Acute upper respiratory infection,1,Seniors 65+,65,,FALSE
25-11-2023,Acute upper respiratory infection,3.6,Overall,,,TRUE
02-12-2023,Acute upper respiratory infection,15.4,Infants 0-1,0,1,FALSE
02-12-2023,Acute upper respiratory infection,13.3,Kids 2-4,2,4,FALSE
02-12-2023,Acute upper respiratory infection,6.8,Kids 5-17,5,17,FALSE
02-12-2023,Acute upper respiratory infection,2.9,Adults 18-49,18,49,FALSE
02-12-2023,Acute upper respiratory infection,1.8,Adults 50-64,50,64,FALSE
02-12-2023,Acute upper respiratory infection,1.1,Seniors 65+,65,,FALSE
02-12-2023,Acute upper respiratory infection,3.7,Overall,,,TRUE
09-12-2023,Acute upper respiratory infection,14.2,Infants 0-1,0,1,FALSE
09-12-2023,Acute upper respiratory infection,13,Kids 2-4,2,4,FALSE
09-12-2023,Acute upper respiratory infection,6.8,Kids 5-17,5,17,FALSE
09-12-2023,Acute upper respiratory infection,2.7,Adults 18-49,18,49,FALSE
09-12-2023,Acute upper respiratory infection,1.7,Adults 50-64,50,64,FALSE
09-12-2023,Acute upper respiratory infection,1.1,Seniors 65+,65,,FALSE
09-12-2023,Acute upper respiratory infection,3.5,Overall,,,TRUE
16-12-2023,Acute upper respiratory infection,14.4,Infants 0-1,0,1,FALSE
16-12-2023,Acute upper respiratory infection,13.1,Kids 2-4,2,4,FALSE
16-12-2023,Acute upper respiratory infection,7.7,Kids 5-17,5,17,FALSE
16-12-2023,Acute upper respiratory infection,2.9,Adults 18-49,18,49,FALSE
16-12-2023,Acute upper respiratory infection,1.8,Adults 50-64,50,64,FALSE
16-12-2023,Acute upper respiratory infection,1.1,Seniors 65+,65,,FALSE
16-12-2023,Acute upper respiratory infection,3.8,Overall,,,TRUE
23-12-2023,Acute upper respiratory infection,14.1,Infants 0-1,0,1,FALSE
23-12-2023,Acute upper respiratory infection,12.9,Kids 2-4,2,4,FALSE
23-12-2023,Acute upper respiratory infection,7.9,Kids 5-17,5,17,FALSE
23-12-2023,Acute upper respiratory infection,3.2,Adults 18-49,18,49,FALSE
